target,rank,feature_id,column_name,variant,correlation,n_samples
w1440_h105,1,reg_eurusd.reg_slope_1440,reg_slope_1440,idx,0.9751,1215518
w1440_h105,2,der_eurusd.der_v1_1440,der_v1_1440,idx,0.9747,1215422
w1440_h105,3,mom_eurusd.mom_diff_1440,mom_diff_1440,idx,0.9747,1215422
w1440_h105,4,eurusd_bqx.bqx_1440,bqx_1440,bqx,0.9734,1215422
w1440_h105,5,mom_eurusd.mom_roc_1440,mom_roc_1440,idx,0.9734,1215422
w1440_h105,6,mom_eurusd.mom_roc_smooth_1440,mom_roc_smooth_1440,idx,0.9635,1215422
w1440_h105,7,agg_bqx_eurusd.agg_sum_1440,agg_sum_1440,bqx,0.9634,1215516
w1440_h105,8,reg_bqx_eurusd.reg_mean_1440,reg_mean_1440,bqx,0.9634,1215516
w1440_h105,9,agg_bqx_eurusd.agg_mean_1440,agg_mean_1440,bqx,0.9634,1215516
w1440_h105,10,reg_eurusd.reg_deviation_2880,reg_deviation_2880,idx,0.9139,1215518
w1440_h105,11,div_eurusd.div_45_2880,div_45_2880,idx,-0.9087,1215518
w1440_h105,12,reg_eurusd.reg_deviation_1440,reg_deviation_1440,idx,0.8743,1215518
w1440_h105,13,div_eurusd.div_90_1440,div_90_1440,idx,-0.8713,1215518
w1440_h105,14,reg_eurusd.reg_zscore_2880,reg_zscore_2880,idx,0.8031,1215518
w1440_h105,15,agg_eurusd.agg_position_2880,agg_position_2880,idx,0.7742,1215518
w1440_h105,16,align_eurusd.pos_1440,pos_1440,idx,0.7619,1215518
w1440_h105,17,agg_eurusd.agg_position_1440,agg_position_1440,idx,0.7619,1215518
w1440_h105,18,reg_eurusd.reg_slope_2880,reg_slope_2880,idx,0.7416,1215518
w1440_h105,19,der_eurusd.der_v1_2880,der_v1_2880,idx,0.7415,1215391
w1440_h105,20,eurusd_bqx.bqx_2880,bqx_2880,bqx,0.7398,1215391
w1440_h105,21,reg_eurusd.reg_direction_1440,reg_direction_1440,idx,0.732,1215518
w1440_h105,22,align_eurusd.dir_1440,dir_1440,idx,0.7318,1215422
w1440_h105,23,mom_eurusd.mom_dir_1440,mom_dir_1440,idx,0.7318,1215422
w1440_h105,24,agg_bqx_eurusd.agg_sum_2880,agg_sum_2880,bqx,0.7311,1215516
w1440_h105,25,agg_bqx_eurusd.agg_mean_2880,agg_mean_2880,bqx,0.7311,1215516
w1440_h105,26,reg_bqx_eurusd.reg_mean_2880,reg_mean_2880,bqx,0.7311,1215516
w1440_h105,27,mom_eurusd.mom_pos_count_720,mom_pos_count_720,idx,0.7247,1215518
w1440_h105,28,mom_eurusd.mom_roc_smooth_720,mom_roc_smooth_720,idx,0.7203,1215469
w1440_h105,29,agg_bqx_eurusd.agg_sum_720,agg_sum_720,bqx,0.7203,1215516
w1440_h105,30,agg_bqx_eurusd.agg_mean_720,agg_mean_720,bqx,0.7203,1215516
w1440_h105,31,reg_bqx_eurusd.reg_mean_720,reg_mean_720,bqx,0.7203,1215516
w1440_h105,32,der_eurusd.der_v1_720,der_v1_720,idx,0.7157,1215469
w1440_h105,33,mom_eurusd.mom_diff_720,mom_diff_720,idx,0.7157,1215469
w1440_h105,34,reg_eurusd.reg_slope_720,reg_slope_720,idx,0.7152,1215518
w1440_h105,35,mom_eurusd.mom_roc_720,mom_roc_720,idx,0.7136,1215469
w1440_h105,36,eurusd_bqx.bqx_720,bqx_720,bqx,0.7136,1215469
w1440_h105,37,mrt_eurusd.mrt_tension_2880,mrt_tension_2880,idx,0.7036,1215518
