pair,variant,feature_name,n_samples,corr_w45_h15,corr_w45_h30,corr_w45_h45,corr_w45_h60,corr_w45_h75,corr_w45_h90,corr_w45_h105,corr_w90_h15,corr_w90_h30,corr_w90_h45,corr_w90_h60,corr_w90_h75,corr_w90_h90,corr_w90_h105,corr_w180_h15,corr_w180_h30,corr_w180_h45,corr_w180_h60,corr_w180_h75,corr_w180_h90,corr_w180_h105,corr_w360_h15,corr_w360_h30,corr_w360_h45,corr_w360_h60,corr_w360_h75,corr_w360_h90,corr_w360_h105,corr_w720_h15,corr_w720_h30,corr_w720_h45,corr_w720_h60,corr_w720_h75,corr_w720_h90,corr_w720_h105,corr_w1440_h15,corr_w1440_h30,corr_w1440_h45,corr_w1440_h60,corr_w1440_h75,corr_w1440_h90,corr_w1440_h105,corr_w2880_h15,corr_w2880_h30,corr_w2880_h45,corr_w2880_h60,corr_w2880_h75,corr_w2880_h90,corr_w2880_h105,avg_w45,avg_w90,avg_w180,avg_w360,avg_w720,avg_w1440,avg_w2880,avg_all,max_abs_corr
chfjpy,idx,agg_mean_2880,1984403,0.9996670326556741,0.9996618827747059,0.9996567164543467,0.9996515501682994,0.9996463870693785,0.9996412270752004,0.9996360700626479,0.9996774044269093,0.9996723259114069,0.9996672116952411,0.9996620714065583,0.9996569147350142,0.9996517513923368,0.9996465895593886,0.9996975852224311,0.9996926642390824,0.9996876983791799,0.9996826923891867,0.999677651024201,0.9996725790284162,0.9996674811493295,0.9997358839860202,0.9997312826293911,0.9997266320123721,0.9997219345131101,0.9997171925104696,0.9997124083799351,0.9997075844992926,0.9998048784262525,0.9998009166136674,0.9997969035347627,0.9997928403616249,0.9997887282746688,0.9997845684485,0.9997803620575518,0.9999121103479852,0.999909434190771,0.9999067053055049,0.9999039242924296,0.9999010917562073,0.9998982083002521,0.9998952745308327,0.9999999730924646,0.9999998926531007,0.9999997589719026,0.9999995723377526,0.9999993330494491,0.999999041402225,0.9999986976917451,0.9996515523228933,0.9996620384466935,0.9996826216331182,0.99972184550437,0.9997927425310039,0.9999038212462832,0.9999994670283769,0.9997734412446769,0.9999999730924646
chfjpy,idx,reg_mean_2880,1984403,0.9996670326556741,0.999661882774706,0.9996567164543466,0.9996515501682995,0.999646387069378,0.9996412270752001,0.9996360700626479,0.9996774044269092,0.9996723259114068,0.9996672116952409,0.9996620714065582,0.9996569147350145,0.9996517513923366,0.9996465895593886,0.999697585222431,0.9996926642390824,0.9996876983791798,0.9996826923891868,0.999677651024201,0.9996725790284162,0.9996674811493295,0.9997358839860199,0.9997312826293914,0.9997266320123721,0.9997219345131102,0.9997171925104696,0.9997124083799351,0.9997075844992928,0.9998048784262523,0.9998009166136674,0.9997969035347628,0.9997928403616249,0.9997887282746686,0.9997845684485004,0.9997803620575518,0.9999121103479852,0.9999094341907708,0.9999067053055046,0.9999039242924295,0.9999010917562073,0.9998982083002521,0.9998952745308327,0.9999999730924645,0.9999998926531009,0.9999997589719024,0.9999995723377526,0.9999993330494491,0.9999990414022251,0.999998697691745,0.9996515523228932,0.9996620384466935,0.9996826216331182,0.99972184550437,0.9997927425310041,0.9999038212462832,0.9999994670283769,0.9997734412446769,0.9999999730924645
usdjpy,idx,agg_mean_2880,2174128,0.999352143225444,0.9993419790666699,0.9993317815139556,0.999321579839675,0.9993113800733557,0.9993011822322825,0.9992909862288673,0.9993721610231715,0.9993621314027452,0.9993520333542023,0.9993418844597428,0.9993317023092736,0.9993215044237707,0.9993113053953063,0.9994112807184145,0.9994015507430782,0.9993917349411582,0.9993818420473113,0.9993718807915779,0.9993618599200074,0.9993517882091598,0.9994858324089979,0.9994767169889583,0.9994675068516289,0.9994582063760551,0.9994488199498183,0.9994393519774527,0.9994298068837347,0.9996201554408797,0.9996122803988584,0.9996043056754228,0.9995962335471612,0.9995880662934621,0.999579806183131,0.9995714554736779,0.9998289380237347,0.9998236085368095,0.9998181751056684,0.9998126389178219,0.9998070011410496,0.9998012629386405,0.9997954254745074,0.9999999469367605,0.9999997881387651,0.9999995241678026,0.9999991555661357,0.999998682872491,0.9999981066282122,0.9999974273784422,0.9993215760257499,0.9993418174811731,0.9993817053386725,0.9994580344909495,0.9995960432875133,0.9998124357340331,0.9999989473840871,0.9995586513917398,0.9999999469367605
usdjpy,idx,reg_mean_2880,2174128,0.999352143225444,0.9993419790666699,0.9993317815139556,0.9993215798396747,0.9993113800733554,0.9993011822322819,0.9992909862288667,0.9993721610231713,0.9993621314027452,0.9993520333542025,0.999341884459743,0.9993317023092738,0.9993215044237703,0.9993113053953065,0.999411280718415,0.9994015507430782,0.9993917349411582,0.9993818420473106,0.9993718807915777,0.9993618599200073,0.9993517882091596,0.9994858324089978,0.9994767169889586,0.999467506851629,0.9994582063760551,0.9994488199498185,0.9994393519774524,0.9994298068837346,0.9996201554408796,0.9996122803988584,0.999604305675423,0.999596233547161,0.9995880662934619,0.9995798061831307,0.9995714554736773,0.9998289380237352,0.9998236085368088,0.9998181751056683,0.9998126389178219,0.9998070011410494,0.9998012629386399,0.9997954254745074,0.9999999469367605,0.9999997881387651,0.9999995241678024,0.9999991555661355,0.9999986828724909,0.9999981066282116,0.9999974273784422,0.9993215760257497,0.9993418174811733,0.9993817053386724,0.9994580344909494,0.9995960432875132,0.9998124357340331,0.999998947384087,0.9995586513917398,0.9999999469367605
chfjpy,idx,reg_mean_1440,1984403,0.9998308459188876,0.9998254376254334,0.999819993096206,0.9998145456103148,0.999809101734394,0.9998036616387497,0.999798225311688,0.9998414661046667,0.9998362072902286,0.9998308729592852,0.9998254828024801,0.9998200566088902,0.9998146141877379,0.9998091721745543,0.9998616071812969,0.9998566795943193,0.9998516574346482,0.9998465503959171,0.9998413682347308,0.9998361207012362,0.999830817599544,0.9998976901752212,0.9998934361621443,0.9998890781708719,0.9998846211181702,0.9998800699411013,0.9998754295582459,0.9998707048779071,0.9999535908614984,0.999950698041492,0.9999476963544159,0.9999445882085775,0.9999413760434382,0.9999380623076699,0.9999346494525609,0.9999999433733524,0.9999997744031517,0.9999994943049293,0.9999991042973764,0.9999986056096163,0.9999979994663557,0.9999972870938704,0.9999172984229033,0.9999198099472223,0.9999222677266649,0.9999246717385502,0.999927021977916,0.9999293184328247,0.9999315610886906,0.999814544419382,0.9998254103039776,0.9998464001630989,0.9998844328576659,0.999944380181379,0.9999988869355215,0.9999245641906818,0.999891231293101,0.9999999433733524
chfjpy,idx,agg_mean_1440,1984403,0.9998308459188873,0.9998254376254336,0.9998199930962064,0.9998145456103151,0.9998091017343939,0.9998036616387497,0.999798225311688,0.9998414661046668,0.9998362072902286,0.9998308729592852,0.9998254828024801,0.9998200566088902,0.9998146141877379,0.9998091721745543,0.9998616071812967,0.9998566795943193,0.9998516574346482,0.9998465503959172,0.9998413682347309,0.9998361207012363,0.9998308175995441,0.9998976901752211,0.9998934361621439,0.9998890781708722,0.9998846211181704,0.9998800699411011,0.999875429558246,0.9998707048779072,0.9999535908614984,0.9999506980414922,0.999947696354416,0.9999445882085773,0.9999413760434384,0.9999380623076698,0.999934649452561,0.9999999433733522,0.9999997744031519,0.9999994943049294,0.9999991042973766,0.9999986056096164,0.9999979994663557,0.9999972870938705,0.9999172984229032,0.9999198099472224,0.999922267726665,0.9999246717385502,0.9999270219779159,0.9999293184328246,0.9999315610886906,0.999814544419382,0.9998254103039776,0.999846400163099,0.9998844328576661,0.9999443801813789,0.9999988869355219,0.9999245641906818,0.9998912312931011,0.9999999433733522
eurjpy,idx,reg_mean_2880,2155694,0.9993010990416961,0.9992902223522127,0.9992793130764505,0.9992684061929897,0.9992575084803683,0.9992466196867554,0.9992357395671249,0.9993231266779047,0.9993123991799766,0.9993015975799912,0.9992907426672658,0.9992798551804998,0.9992689558654742,0.9992580620762983,0.9993660766893154,0.9993556835408384,0.9993451954926317,0.9993346229549788,0.9993239763361829,0.9993132660037042,0.9993025022911475,0.999447562504999,0.9994378570833214,0.9994280462887768,0.9994181352724816,0.9994081292110408,0.9993980333211541,0.9993878528269196,0.9995931527532278,0.9995848177813753,0.999576373464879,0.9995678223525054,0.9995591670028297,0.9995504099653263,0.9995415537687494,0.999817138197196,0.999811525790345,0.9998058020795338,0.9997999683770067,0.9997940259756017,0.9997879761488621,0.9997818201504056,0.9999999431677399,0.999999773205455,0.9999994907285731,0.9999990963799467,0.9999985908036141,0.9999979746472814,0.9999972485504278,0.999268415485371,0.9992906770324873,0.9993344747583999,0.9994179452155276,0.9995676138698419,0.9997997509598501,0.9999988739261483,0.9995253930353751,0.9999999431677399
eurjpy,idx,agg_mean_2880,2155694,0.9993010990416961,0.9992902223522127,0.9992793130764505,0.9992684061929897,0.999257508480368,0.999246619686755,0.999235739567125,0.9993231266779047,0.9993123991799767,0.9993015975799913,0.9992907426672657,0.9992798551804998,0.999268955865474,0.9992580620762983,0.9993660766893155,0.9993556835408386,0.9993451954926317,0.9993346229549787,0.9993239763361828,0.999313266003704,0.9993025022911471,0.9994475625049992,0.9994378570833219,0.9994280462887769,0.9994181352724814,0.9994081292110408,0.9993980333211541,0.9993878528269196,0.9995931527532276,0.9995848177813755,0.9995763734648793,0.9995678223525054,0.9995591670028297,0.9995504099653264,0.9995415537687491,0.9998171381971959,0.999811525790345,0.9998058020795338,0.9997999683770068,0.9997940259756014,0.9997879761488621,0.9997818201504054,0.9999999431677398,0.9999997732054552,0.9999994907285731,0.9999990963799467,0.9999985908036142,0.9999979746472816,0.9999972485504275,0.999268415485371,0.9992906770324872,0.9993344747583999,0.9994179452155276,0.9995676138698418,0.99979975095985,0.9999988739261483,0.9995253930353751,0.9999999431677398
gbpjpy,idx,reg_mean_2880,2179062,0.9992501770239295,0.9992383920628535,0.9992265675843666,0.9992147395033107,0.9992029147131394,0.9991910927042498,0.9991792728540012,0.9992737169091264,0.9992620942926527,0.9992503895265055,0.9992386239435516,0.9992268188163382,0.9992149953114482,0.999203171084874,0.9993196531306385,0.9993083913361465,0.9992970262452064,0.9992855685271487,0.9992740288033851,0.9992624176058631,0.9992507454341878,0.9994068645415668,0.9993963430517635,0.9993857075783028,0.9993749634105017,0.9993641158651533,0.9993531702539931,0.9993421319096393,0.999562867549913,0.9995538254865971,0.999544664970345,0.9995353886336003,0.9995259991220276,0.9995164990436208,0.999506890991197,0.9998034067070986,0.9997973220543553,0.9997911166718155,0.9997847918899544,0.9997783490327241,0.99977178938761,0.999765114244007,0.9999999384159488,0.99999975415477,0.9999994478909507,0.9999990202864799,0.9999984720107834,0.999997803707446,0.9999970160309223,0.9992147366351215,0.9992385442692137,0.999285404440368,0.9993747566587029,0.9995351622567572,0.9997845557125092,0.9999987789281858,0.9994902769858368,0.9999999384159488
gbpjpy,idx,agg_mean_2880,2179062,0.9992501770239296,0.9992383920628536,0.9992265675843668,0.9992147395033111,0.9992029147131394,0.9991910927042497,0.9991792728540014,0.9992737169091263,0.9992620942926526,0.9992503895265056,0.9992386239435517,0.9992268188163382,0.9992149953114481,0.9992031710848741,0.9993196531306382,0.9993083913361464,0.9992970262452061,0.9992855685271488,0.9992740288033851,0.9992624176058631,0.9992507454341877,0.9994068645415666,0.9993963430517636,0.9993857075783027,0.9993749634105017,0.9993641158651534,0.9993531702539927,0.999342131909639,0.9995628675499126,0.9995538254865967,0.9995446649703452,0.9995353886336004,0.9995259991220276,0.9995164990436209,0.9995068909911972,0.9998034067070984,0.9997973220543552,0.9997911166718155,0.9997847918899548,0.9997783490327239,0.99977178938761,0.9997651142440072,0.9999999384159487,0.9999997541547698,0.999999447890951,0.99999902028648,0.9999984720107832,0.9999978037074461,0.9999970160309226,0.9992147366351215,0.9992385442692137,0.9992854044403678,0.9993747566587029,0.9995351622567572,0.9997845557125095,0.9999987789281859,0.9994902769858368,0.9999999384159487
