feature_name,pairs_count,avg_max_corr,max_corr,top_horizons
reg_mean_360,27,0.9995,0.9999,h15
reg_mean_720,27,0.9994,0.9999,h15
agg_mean_90,28,0.9994,0.9999,"h75,h90"
agg_mean_360,28,0.9994,0.9999,h15
agg_mean_720,28,0.9994,0.9999,h15
sma_90,27,0.9994,0.9999,"h75,h90"
agg_mean_180,28,0.9994,0.9999,"h45,h60"
reg_mean_180,27,0.9994,0.9999,"h45,h60"
reg_mean_90,27,0.9994,0.9999,"h75,h90"
reg_ci_upper_720,27,0.9993,0.9999,h105
close_lag_45,27,0.9993,0.9999,"h75,h90"
reg_ci_lower_90,27,0.9993,0.9999,h105
agg_max_180,28,0.9993,0.9999,"h45,h60,h75"
open_lag_90,27,0.9993,0.9999,"h30,h45"
low_lag_45,27,0.9993,0.9999,"h75,h90"
reg_ci_upper_180,27,0.9993,0.9999,h105
low_lag_90,27,0.9993,0.9999,"h30,h45"
reg_mean_45,27,0.9993,0.9999,h105
reg_ci_lower_45,27,0.9993,0.9999,h105
reg_max_45,27,0.9993,0.9999,h105
reg_ci_upper_360,27,0.9993,0.9999,h105
reg_ci_lower_1440,27,0.9993,0.9999,h105
close_idx,27,0.9993,0.9999,h105
high_idx,27,0.9993,0.9999,h105
high_lag_45,27,0.9993,0.9999,"h75,h90"
reg_first_180,27,0.9993,0.9999,h15
open_lag_45,27,0.9993,0.9999,"h75,h90"
agg_min_45,28,0.9993,0.9999,h105
reg_const_term_180,27,0.9993,0.9999,h15
reg_max_90,27,0.9993,0.9999,"h105,h90"
close_lag_90,27,0.9993,0.9999,"h30,h45"
reg_min_180,27,0.9993,0.9999,"h45,h60,h75"
reg_min_90,27,0.9993,0.9999,"h105,h75,h90"
reg_const_term_90,27,0.9993,0.9999,"h30,h45"
reg_ci_upper_2880,27,0.9993,0.9999,h105
reg_min_45,27,0.9993,0.9999,h105
reg_ci_upper_1440,27,0.9993,0.9999,h105
reg_max_180,27,0.9993,0.9999,"h45,h60,h75"
reg_ci_lower_360,27,0.9993,0.9999,h105
reg_const_term_45,27,0.9993,0.9999,"h75,h90"
open_idx,27,0.9993,0.9999,h105
reg_ci_upper_90,27,0.9993,0.9999,h105
reg_ci_lower_720,27,0.9993,0.9999,h105
reg_first_45,27,0.9993,0.9999,"h75,h90"
high_lag_90,27,0.9993,0.9999,"h30,h45"
reg_ci_upper_45,27,0.9993,0.9999,h105
sma_45,27,0.9993,0.9999,h105
reg_ci_lower_180,27,0.9993,0.9999,h105
low_idx,27,0.9993,0.9999,h105
reg_ci_lower_2880,27,0.9993,0.9999,h105
agg_max_45,28,0.9993,0.9999,h105
agg_mean_45,28,0.9993,0.9999,h105
agg_min_90,28,0.9993,0.9999,"h105,h75,h90"
agg_max_90,28,0.9993,0.9999,"h105,h90"
agg_min_180,28,0.9993,0.9999,"h45,h60,h75"
reg_first_90,27,0.9993,0.9999,"h30,h45"
reg_mean_1440,27,0.9992,0.9999,h15
agg_min_360,28,0.9992,0.9999,"h15,h30,h45"
reg_max_360,27,0.9992,0.9999,"h15,h30"
reg_min_360,27,0.9992,0.9999,"h15,h30,h45"
agg_max_360,28,0.9992,0.9999,"h15,h30"
reg_first_360,27,0.9991,0.9999,h15
reg_const_term_360,27,0.9991,0.9999,h15
reg_max_720,27,0.9991,0.9999,h15
agg_mean_1440,28,0.9991,0.9999,h15
agg_min_720,28,0.999,0.9999,h15
agg_max_720,28,0.999,0.9999,h15
reg_min_720,27,0.999,0.9999,h15
reg_const_term_720,27,0.9985,0.9998,h15
reg_first_720,27,0.9985,0.9998,h15
reg_max_1440,27,0.9985,0.9998,h15
agg_min_1440,28,0.9985,0.9998,h15
agg_max_1440,28,0.9985,0.9998,h15
reg_min_1440,27,0.9985,0.9998,h15
agg_mean_2880,28,0.9982,0.9998,h15
reg_mean_2880,27,0.9982,0.9998,h15
agg_sum_45,28,0.9979,0.9998,h105
reg_min_2880,27,0.9971,0.9996,h15
reg_max_2880,27,0.997,0.9997,h15
agg_max_2880,28,0.997,0.9997,h15
agg_min_2880,28,0.997,0.9996,h15
reg_first_1440,27,0.9969,0.9996,h15
reg_const_term_1440,27,0.9969,0.9996,h15
agg_sum_90,28,0.9965,0.9998,"h75,h90"
agg_sum_180,28,0.9938,0.9996,"h30,h45,h60"
reg_first_2880,27,0.9931,0.9992,h15
reg_const_term_2880,27,0.9931,0.9992,h15
agg_sum_360,28,0.9884,0.9993,h15
agg_sum_720,28,0.9781,0.9986,h15
agg_sum_1440,28,0.959,0.9973,h15
agg_sum_2880,28,0.9259,0.9947,h15
spread_lag_1,27,0.6629,0.9977,"h105,h15,h30"
spread_lag_2,27,0.6629,0.9977,"h105,h15,h30"
spread_lag_3,27,0.6629,0.9977,"h105,h15,h30"
spread_lag_15,27,0.6629,0.9977,"h105,h15,h30"
spread_lag_10,27,0.6629,0.9977,"h105,h15,h30"
spread_lag_5,27,0.6629,0.9977,"h105,h15,h30"
spread_lag_45,27,0.6629,0.9977,"h105,h15,h30"
spread_lag_30,27,0.6629,0.9977,"h105,h15,h30"
spread_lag_60,27,0.6628,0.9977,"h105,h15,h30"
