residual_feature,eurusd,gbpusd,usdjpy,usdchf,audusd,usdcad,nzdusd,eurcad,eurjpy,eurgbp,eurchf,euraud,eurnzd,gbpjpy,gbpcad,gbpchf,gbpaud,gbpnzd,audjpy,audcad,audchf,audnzd,nzdjpy,nzdcad,nzdchf,cadjpy,cadchf,chfjpy
reg_resid_last_2880,0.8591,0.6114,0.4336,0.6514,0.4787,0.4481,0.5035,0.5028,0.327,0.1646,0.3026,0.1088,0.1112,0.1576,0.3029,0.0544,0.0172,0.018,0.1326,0.3038,0.053,0.026,0.1457,0.3191,0.0608,0.0835,0.2485,0.1389
reg_resid_last_1440,0.8546,0.6056,0.4304,0.647,0.4744,0.4453,0.4987,0.5007,0.3268,0.1645,0.3019,0.1085,0.1116,0.1572,0.3005,0.0535,0.0145,0.0173,0.132,0.3007,0.0524,0.0166,0.1447,0.3156,0.0594,0.0822,0.247,0.1384
reg_resid_last_720,0.8438,0.5984,0.4241,0.6392,0.4771,0.445,0.4998,0.491,0.3244,0.1556,0.3007,0.1002,0.1035,0.1618,0.2989,0.0608,0.0139,0.0189,0.1384,0.3039,0.0605,0.0099,0.1504,0.3168,0.0671,0.0768,0.2392,0.1344
reg_resid_last_360,0.8223,0.5827,0.4126,0.622,0.4626,0.4312,0.4863,0.4798,0.3158,0.1527,0.2937,0.097,0.1007,0.1564,0.2913,0.0586,0.0138,0.0193,0.1337,0.2955,0.0588,0.0096,0.1457,0.3099,0.0655,0.0757,0.2334,0.1309
reg_residual_2880,0.8158,0.5784,0.4123,0.618,0.4547,0.4237,0.476,0.4771,0.3066,0.1599,0.2865,0.1062,0.109,0.1434,0.2861,0.0506,0.0197,0.019,0.1206,0.2871,0.0512,0.0192,0.1314,0.2968,0.0566,0.0831,0.2319,0.1299
reg_residual_1440,0.8115,0.5715,0.4057,0.6126,0.4489,0.4228,0.4687,0.4758,0.3143,0.1536,0.2915,0.1068,0.1089,0.155,0.2849,0.0551,0.0129,0.0156,0.1261,0.2771,0.048,0.0129,0.1392,0.2893,0.0512,0.0726,0.2328,0.1314
reg_residual_720,0.7971,0.5642,0.3999,0.6042,0.4538,0.421,0.4755,0.4632,0.3051,0.1473,0.2817,0.0951,0.0978,0.1517,0.281,0.0566,0.0138,0.0188,0.132,0.2893,0.058,0.0096,0.144,0.3008,0.0632,0.0718,0.2268,0.1224
reg_resid_last_180,0.7828,0.5555,0.3945,0.59,0.4437,0.4051,0.4663,0.4583,0.2993,0.1445,0.283,0.0918,0.0947,0.1485,0.2819,0.0585,0.0153,0.02,0.1276,0.2873,0.0585,0.0093,0.1394,0.3011,0.0654,0.0758,0.2231,0.1256
reg_residual_360,0.7691,0.5423,0.3867,0.5833,0.4323,0.4026,0.4541,0.4531,0.3002,0.1498,0.2747,0.0905,0.0947,0.147,0.2726,0.0499,0.022,0.024,0.1286,0.2764,0.0556,0.0091,0.1389,0.2905,0.06,0.0703,0.2203,0.1292
reg_residual_180,0.7169,0.5084,0.3602,0.5389,0.4068,0.3691,0.428,0.4207,0.2733,0.1349,0.2578,0.0859,0.0894,0.1337,0.257,0.0503,0.0141,0.0197,0.1152,0.2628,0.0517,0.0088,0.126,0.2758,0.0576,0.0717,0.2057,0.1114
