residual_feature,eurusd,gbpusd,usdjpy,usdchf,audusd,usdcad,nzdusd,eurcad,eurjpy,eurgbp,eurchf,euraud,eurnzd,gbpjpy,gbpcad,gbpchf,gbpaud,gbpnzd,audjpy,audcad,audchf,audnzd,nzdjpy,nzdcad,nzdchf,cadjpy,cadchf,chfjpy
reg_residual_1440,0.9248,0.6586,0.5019,0.7348,0.4939,0.5031,0.5211,0.5417,0.3058,0.1452,0.2705,0.1527,0.1505,0.1441,0.3573,0.0741,0.059,0.042,0.0958,0.2903,0.031,0.0794,0.1163,0.3093,0.0654,0.1238,0.2998,0.1807
reg_resid_norm_1440,0.9238,0.6517,0.505,0.7342,0.4801,0.5047,0.5154,0.545,0.3109,0.1489,0.2656,0.1512,0.1473,0.1515,0.3562,0.0719,0.057,0.0415,0.0856,0.2835,0.0262,0.0781,0.1106,0.3104,0.0581,0.1248,0.3103,0.1834
reg_resid_last_2880,0.9238,0.6842,0.5212,0.7439,0.5698,0.5655,0.6214,0.5209,0.3195,0.0503,0.2699,0.0685,0.0777,0.221,0.4796,0.1538,0.0836,0.0438,0.1606,0.3841,0.074,0.0817,0.1872,0.4454,0.1093,0.1297,0.3184,0.2054
reg_residual_2880,0.9196,0.6801,0.5212,0.7436,0.5331,0.5149,0.5784,0.5371,0.2806,0.0784,0.2505,0.1069,0.1087,0.1643,0.4092,0.1079,0.077,0.046,0.1091,0.3373,0.0379,0.0997,0.137,0.3779,0.0801,0.138,0.3049,0.1848
reg_resid_norm_2880,0.9183,0.6727,0.5247,0.7452,0.5254,0.5162,0.5779,0.5422,0.2803,0.0836,0.2472,0.1123,0.1086,0.1694,0.4078,0.106,0.0788,0.0484,0.1011,0.334,0.0289,0.0983,0.1324,0.3798,0.0729,0.1422,0.3166,0.1849
reg_residual_720,0.918,0.6532,0.4756,0.7168,0.5102,0.5049,0.5246,0.5336,0.322,0.149,0.3081,0.14,0.1469,0.1573,0.339,0.0589,0.0402,0.0295,0.1206,0.2999,0.0375,0.0616,0.134,0.2989,0.053,0.0968,0.2647,0.1503
reg_resid_norm_720,0.9165,0.6439,0.48,0.7154,0.497,0.5066,0.5187,0.5384,0.3298,0.1544,0.3037,0.1405,0.1446,0.1653,0.3388,0.0583,0.0424,0.0304,0.1119,0.2929,0.0272,0.0611,0.1221,0.3001,0.0483,0.0957,0.2729,0.1548
reg_residual_360,0.9159,0.6551,0.4668,0.7137,0.5062,0.4968,0.5219,0.5342,0.329,0.1621,0.3142,0.1261,0.1417,0.1562,0.3297,0.0525,0.0307,0.0266,0.1245,0.3033,0.0456,0.0444,0.1355,0.3052,0.0418,0.0929,0.2638,0.1506
reg_resid_norm_360,0.9149,0.6458,0.4719,0.7117,0.4933,0.4988,0.5167,0.5389,0.3382,0.1683,0.3096,0.1289,0.1405,0.1646,0.3302,0.0525,0.0322,0.0276,0.1211,0.2975,0.0295,0.044,0.128,0.3061,0.0303,0.0922,0.2713,0.1549
reg_resid_last_1440,0.9139,0.6588,0.5012,0.725,0.5012,0.5041,0.5365,0.5321,0.2974,0.1145,0.2634,0.1331,0.1339,0.1523,0.3767,0.0969,0.0606,0.0434,0.1005,0.3055,0.0367,0.0911,0.1274,0.3506,0.0773,0.1244,0.2995,0.1893
reg_resid_last_720,0.9087,0.6515,0.4799,0.7103,0.4954,0.4956,0.5108,0.5385,0.3157,0.152,0.2991,0.1418,0.149,0.1499,0.3413,0.0722,0.0493,0.0322,0.1105,0.2959,0.0345,0.0714,0.1273,0.2979,0.0643,0.1084,0.2758,0.1682
reg_residual_180,0.9021,0.6492,0.4548,0.696,0.5048,0.477,0.5253,0.5216,0.3275,0.1633,0.3131,0.1197,0.1298,0.1554,0.3191,0.0511,0.0235,0.0163,0.1304,0.3091,0.0528,0.0308,0.1456,0.319,0.0544,0.0898,0.2569,0.1486
reg_resid_last_360,0.902,0.6467,0.4596,0.7016,0.4987,0.491,0.5128,0.5254,0.3223,0.1603,0.3065,0.1349,0.1446,0.1516,0.3244,0.0575,0.0384,0.0313,0.1206,0.2979,0.0412,0.0568,0.1318,0.2972,0.0467,0.0976,0.261,0.1474
reg_resid_norm_180,0.9009,0.64,0.4596,0.6948,0.4942,0.4795,0.5219,0.5267,0.3344,0.1698,0.3097,0.1228,0.1289,0.1605,0.3195,0.0515,0.0243,0.0172,0.1257,0.3042,0.0382,0.0304,0.1375,0.3202,0.0439,0.0901,0.2646,0.1524
reg_resid_last_180,0.8848,0.6358,0.4526,0.6893,0.4914,0.4735,0.5111,0.5144,0.3239,0.162,0.3067,0.1251,0.1378,0.1531,0.3183,0.055,0.0296,0.0226,0.1259,0.2978,0.0476,0.0405,0.1412,0.307,0.0498,0.0928,0.2553,0.1483
reg_resid_last_90,0.8771,0.6351,0.4428,0.6767,0.4926,0.4637,0.5125,0.5067,0.3204,0.1568,0.3087,0.1138,0.1239,0.1561,0.3138,0.0583,0.021,0.0147,0.1332,0.3032,0.0622,0.0282,0.1481,0.3125,0.0655,0.0864,0.2471,0.1434
reg_resid_last_45,0.8696,0.6368,0.4327,0.6614,0.4945,0.4519,0.5139,0.5021,0.3307,0.1544,0.3128,0.1075,0.1138,0.165,0.3105,0.0631,0.0151,0.0152,0.1437,0.3096,0.0669,0.0187,0.1593,0.3196,0.0718,0.0798,0.2423,0.1411
reg_residual_90,0.8682,0.6309,0.4339,0.661,0.4962,0.4537,0.5155,0.4992,0.3252,0.1553,0.3088,0.1014,0.1081,0.1596,0.3061,0.0584,0.0156,0.0194,0.1431,0.3127,0.0696,0.0207,0.1587,0.3233,0.0741,0.0809,0.2414,0.1375
reg_resid_norm_90,0.8673,0.6212,0.4386,0.6599,0.487,0.4565,0.5131,0.5049,0.3313,0.1618,0.3062,0.1054,0.1084,0.163,0.3066,0.0594,0.0163,0.0195,0.1379,0.3089,0.0576,0.0204,0.1514,0.3251,0.0661,0.081,0.2481,0.1418
reg_residual_45,0.7494,0.5495,0.3754,0.5715,0.4301,0.3902,0.4464,0.4312,0.2852,0.1312,0.2685,0.094,0.0985,0.1438,0.2676,0.0577,0.0116,0.013,0.1272,0.2689,0.0606,0.0133,0.1402,0.2767,0.0649,0.0687,0.2093,0.1219
reg_resid_norm_45,0.7485,0.5405,0.3783,0.571,0.4224,0.3925,0.4445,0.4363,0.2898,0.1368,0.2663,0.0973,0.0987,0.1465,0.268,0.0588,0.0121,0.0133,0.1219,0.2657,0.0507,0.0132,0.1334,0.2784,0.0587,0.069,0.2147,0.125
reg_resid_skew_2880,0.5351,0.4218,0.2343,0.4152,0.3146,0.242,0.3684,0.3545,0.2008,0.1112,0.1865,0.0758,0.0774,0.121,0.2392,0.0844,0.0283,0.0178,0.1013,0.2241,0.0752,0.0623,0.0965,0.2471,0.0589,0.0579,0.1318,0.1173
reg_resid_skew_1440,0.5138,0.4383,0.2132,0.4226,0.3308,0.264,0.3673,0.3541,0.2024,0.1517,0.1963,0.0867,0.0852,0.0933,0.2205,0.0578,0.0301,0.0351,0.0889,0.2345,0.0689,0.0501,0.0971,0.2362,0.0557,0.0614,0.1409,0.0698
reg_resid_skew_720,0.4723,0.4085,0.229,0.3633,0.2664,0.2595,0.2943,0.3274,0.2108,0.1419,0.1776,0.0601,0.0656,0.0947,0.2028,0.0446,0.0328,0.037,0.0956,0.1963,0.0737,0.0281,0.1086,0.2114,0.0786,0.0571,0.1321,0.0922
