pair,feature_name,source_table,best_horizon,max_corr,h15,h30,h45,h60,h75,h90,h105
chfjpy,reg_mean_360,reg_chfjpy,h15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,agg_mean_360,agg_chfjpy,h15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,agg_mean_720,agg_chfjpy,h15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,reg_mean_720,reg_chfjpy,h15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,reg_mean_180,reg_chfjpy,h45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,agg_mean_180,agg_chfjpy,h45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,sma_90,lag_chfjpy_90,h75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,agg_mean_90,agg_chfjpy,h75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,reg_mean_90,reg_chfjpy,h75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,sma_45,lag_chfjpy_45,h90,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,val1,cov_agg_chfjpy_nzdjpy,h90,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,val1,cov_reg_chfjpy_nzdjpy,h90,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,agg_mean_45,agg_chfjpy,h90,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,reg_mean_45,reg_chfjpy,h90,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,val2,cov_agg_audjpy_chfjpy,h90,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,val2,cov_reg_audjpy_chfjpy,h90,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,val2,cov_agg_cadjpy_chfjpy,h90,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,val2,cov_reg_cadjpy_chfjpy,h90,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,val1,cov_reg_chfjpy_gbpchf,h90,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,val1,cov_agg_chfjpy_gbpchf,h90,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,val1,cov_agg_chfjpy_gbpjpy,h90,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,val1,cov_reg_chfjpy_gbpjpy,h90,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,val1,cov_reg_chfjpy_usdjpy,h90,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,val1,cov_agg_chfjpy_usdjpy,h90,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,val1,cov_agg_chfjpy_eurjpy,h90,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
