pair,feature_name,source_table,best_horizon,max_corr,h15,h30,h45,h60,h75,h90,h105
chfjpy,agg_mean_360,agg_chfjpy,h15,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,reg_mean_360,reg_chfjpy,h15,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,agg_mean_720,agg_chfjpy,h15,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,reg_mean_720,reg_chfjpy,h15,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,agg_mean_180,agg_chfjpy,h60,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,reg_mean_180,reg_chfjpy,h60,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,sma_90,lag_chfjpy_90,h90,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,reg_mean_90,reg_chfjpy,h90,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,agg_mean_90,agg_chfjpy,h90,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,sma_45,lag_chfjpy_45,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,val2,cov_agg_audjpy_chfjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,val2,cov_reg_audjpy_chfjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,reg_mean_45,reg_chfjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,agg_mean_45,agg_chfjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,val1,cov_agg_chfjpy_nzdjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,val1,cov_reg_chfjpy_nzdjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,val2,cov_reg_cadjpy_chfjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,val2,cov_agg_cadjpy_chfjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,val1,cov_reg_chfjpy_gbpchf,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,val1,cov_agg_chfjpy_gbpchf,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,val1,cov_reg_chfjpy_gbpjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,val1,cov_agg_chfjpy_gbpjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,val1,cov_agg_chfjpy_usdjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,val1,cov_reg_chfjpy_usdjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,val1,cov_agg_chfjpy_nzdchf,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,val1,cov_reg_chfjpy_nzdchf,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,val1,cov_agg_chfjpy_eurjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,val1,cov_reg_chfjpy_eurjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,agg_max_45,agg_chfjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,reg_max_45,reg_chfjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,val2,cov_agg_audchf_chfjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,val2,cov_reg_audchf_chfjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,agg_max_90,agg_chfjpy,h90,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,reg_max_90,reg_chfjpy,h90,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,val2,cov_reg_cadchf_chfjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,val2,cov_agg_cadchf_chfjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,high_lag_90,lag_chfjpy_90,h45,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,high_lag_45,lag_chfjpy_45,h90,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,agg_max_180,agg_chfjpy,h60,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,reg_max_180,reg_chfjpy,h60,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,val2,cov_lag_audjpy_chfjpy,h90,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,reg_first_90,reg_chfjpy,h45,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,reg_const_term_90,reg_chfjpy,h45,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,reg_const_term_45,reg_chfjpy,h90,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,reg_first_45,reg_chfjpy,h90,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,close_lag_45,lag_chfjpy_45,h90,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,close_lag_90,lag_chfjpy_90,h45,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,open_lag_45,lag_chfjpy_45,h90,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,open_lag_90,lag_chfjpy_90,h45,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,val1,cov_lag_chfjpy_nzdjpy,h90,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,val2,cov_lag_cadjpy_chfjpy,h90,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,val1,cov_lag_chfjpy_gbpchf,h90,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,val1,cov_reg_chfjpy_eurchf,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,val1,cov_agg_chfjpy_eurchf,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,val1,cov_lag_chfjpy_gbpjpy,h90,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,high_idx,chfjpy_idx,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,reg_ci_upper_90,reg_chfjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,reg_ci_upper_45,reg_chfjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,low_lag_90,lag_chfjpy_90,h45,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,low_lag_45,lag_chfjpy_45,h90,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,reg_ci_upper_180,reg_chfjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,reg_ci_upper_360,reg_chfjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,reg_ci_upper_720,reg_chfjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,open_idx,chfjpy_idx,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,val1,cov_lag_chfjpy_usdjpy,h90,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,close_idx,chfjpy_idx,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,reg_ci_upper_1440,reg_chfjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,reg_ci_lower_2880,reg_chfjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,reg_ci_upper_2880,reg_chfjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,reg_ci_lower_1440,reg_chfjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,reg_ci_lower_720,reg_chfjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,reg_ci_lower_360,reg_chfjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,low_idx,chfjpy_idx,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,reg_ci_lower_180,reg_chfjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,reg_ci_lower_90,reg_chfjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,reg_ci_lower_45,reg_chfjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,val1,cov_lag_chfjpy_eurjpy,h90,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,val1,cov_lag_chfjpy_nzdchf,h90,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,val2,cov_lag_audchf_chfjpy,h90,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,reg_const_term_180,reg_chfjpy,h15,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,reg_first_180,reg_chfjpy,h15,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,reg_min_45,reg_chfjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,agg_min_45,agg_chfjpy,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,val2,cov_lag_cadchf_chfjpy,h90,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,val1,cov_lag_chfjpy_eurchf,h90,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
chfjpy,val1,cov_reg_chfjpy_usdchf,h105,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
